Mouse_Symbol,Human_Symbol_Manning,Human_Symbol_KinHub,Human_Symbol_Coral,Human_Symbol_Legacy,Description,Group,Family,Subfamily,UniProt_Human,MGI_Mouse,Entrez_Mouse,Source,Date,UniProt_Mouse_biomart,UniProt_Mouse_UniProtAPI,biomart_source,uniprotapi_source
Mtor,FRAP,FRAP,MTOR,FRAP,Serine/threonine-protein kinase mTOR,Atypical,PIKK,FRAP,P42345,MGI:1928394,56717,KinHub,10/6/2020,Q9JLN9,Q9JLN9;Q3T9E1,biomart,uniprot_api
Musk,MUSK,MUSK,MUSK,MUSK,Muscle,TK,Musk,"",O15146,MGI:103581,18198,KinHub,10/6/2020,;Q61006,Q61006;Q32S50;Q497X0;Q32SD3;Q32S49;I7GSQ5;Q32SD4;Q1XD56,biomart,uniprot_api
Mylk,smMLCK,smMLCK,MYLK,smMLCK,Myosin light chain kinase,CAMK,MLCK,"",Q15746,MGI:894806,107589,KinHub,10/6/2020,;Q6PDN3,Q6PDN3;B1B1A8;Q8BJ10,biomart,uniprot_api
Mylk2,skMLCK,skMLCK,MYLK2,skMLCK,Myosin light chain kinase 2,CAMK,MLCK,"",Q9H1R3,MGI:2139434,228785,KinHub,10/6/2020,Q8VCR8,Q8VCR8;B2RXZ9,biomart,uniprot_api
Mylk3,caMLCK,caMLCK,MYLK3,caMLCK,Myosin light chain kinase 3,CAMK,MLCK,"",Q32MK0,MGI:2443063,213435,KinHub,10/6/2020,Q3UIZ8;,Q3UIZ8;B2RQL6;D3Z630;D3YZQ0,biomart,uniprot_api
Mylk4,SgK085,SgK085,MYLK4,SgK085,Myosin light chain kinase family member 4,CAMK,MLCK,"",Q86YV6,MGI:3643758,238564,KinHub,10/6/2020,"",Q5SUV5;A0A5F8MPR5;A0A2R8VI35;F8WIP5,,uniprot_api
Myo3a,MYO3A,MYO3A,MYO3A,MYO3A,Myosin-IIIa,STE,STE20,NinaC,Q8NEV4,MGI:2183924,667663,KinHub,10/6/2020,"",Q8K3H5;A0AAQ4VMV0;A2ASW0;Q9D336,,uniprot_api
Myo3b,MYO3B,MYO3B,MYO3B,MYO3B,Myosin-IIIb,STE,STE20,NinaC,Q8WXR4,MGI:2448580,329421,KinHub,10/6/2020,;Q1EG27,Q1EG27;F8VQ79;Q8C9Z9;Q0P645,biomart,uniprot_api
Nek1,NEK1,NEK1,NEK1,NEK1,Serine/threonine-protein kinase Nek1,Other,NEK,"",Q96PY6,MGI:97303,18004,KinHub,10/6/2020,;P51954,P51954;Q69Z74;B2RXX0;Q8BSB6;Q8CD72;B2RXQ4;Q811L2;B7ZWK0;Q3UXI0,biomart,uniprot_api
Nek10,NEK10,NEK10,NEK10,NEK10,Serine/threonine-protein kinase Nek10,Other,NEK,"",Q6ZWH5,MGI:2685128,674895,KinHub,10/6/2020,;Q3UGM2,Q3UGM2;K3W4R8;F6XT14,biomart,uniprot_api
Nek11,NEK11,NEK11,NEK11,NEK11,Serine/threonine-protein kinase Nek11,Other,NEK,"",Q8NG66,MGI:2442276,208583,KinHub,10/6/2020,Q8C0Q4;,Q8C0Q4;Q0VDN9;D6RH85;D3Z1E7;H3BLL8,biomart,uniprot_api
Nek2,NEK2,NEK2,NEK2,NEK2,Serine/threonine-protein kinase Nek2,Other,NEK,"",P51955,MGI:109359,18005,KinHub,10/6/2020,O35942,O35942;Q8BP64;Q6PFG1;Q3TF15;Q921N9;Q91Z18,biomart,uniprot_api
Nek3,NEK3,NEK3,NEK3,NEK3,Serine/threonine-protein kinase Nek3,Other,NEK,"",P51956,MGI:1344371,23954,KinHub,10/6/2020,;Q9R0A5,Q9R0A5;Q99K72;F8WGD4,biomart,uniprot_api
Nek4,NEK4,NEK4,NEK4,NEK4,Serine/threonine-protein kinase Nek4,Other,NEK,"",P51957,MGI:1344404,23955,KinHub,10/6/2020,Q9Z1J2;,Q9Z1J2;Q6GTE9;Q3THY0;Q3UED6;F8WGA9;A0A2I3BPM0;Q3UF09,biomart,uniprot_api
Nek5,NEK5,NEK5,NEK5,NEK5,Serine/threonine-protein kinase Nek5,Other,NEK,"",Q6P3R8,MGI:2142824,330721,KinHub,10/6/2020,Q7TSC3;,Q7TSC3;A0A1B0GS95,biomart,uniprot_api
Nek6,NEK6,NEK6,NEK6,NEK6,Serine/threonine-protein kinase Nek6,Other,NEK,"",Q9HC98,MGI:1891638,59126,KinHub,10/6/2020,Q9ES70;,Q9ES70;A2ATP1;A2ATN9;A2ATP0,biomart,uniprot_api
Nek7,NEK7,NEK7,NEK7,NEK7,Serine/threonine-protein kinase Nek7,Other,NEK,"",Q8TDX7,MGI:1890645,59125,KinHub,10/6/2020,Q9ES74;,Q9ES74;Q3TN15,biomart,uniprot_api
Nek8,NEK8,NEK8,NEK8,NEK8,Serine/threonine-protein kinase Nek8,Other,NEK,"",Q86SG6,MGI:1890646,140859,KinHub,10/6/2020,Q91ZR4;,Q91ZR4;E9Q258,biomart,uniprot_api
Nek9,NEK9,NEK9,NEK9,NEK9,Serine/threonine-protein kinase Nek9,Other,NEK,"",Q8TD19,MGI:2387995,217718,KinHub,10/6/2020,Q8K1R7,Q8K1R7;Q69Z43,biomart,uniprot_api
Nim1k,NIM1,NIM1,NIM1K,NIM1,Serine/threonine-protein kinase NIM1,CAMK,CAMKL,NIM1,Q8IY84,MGI:2442399,245269,KinHub,10/6/2020,Q8BHI9,Q8BHI9;Q3UQ09,biomart,uniprot_api
Nlk,NLK,NLK,NLK,NLK,Serine/threonine-protein kinase NLK,CMGC,MAPK,nmo,Q9UBE8,MGI:1201387,18099,KinHub,10/6/2020,O54949;,O54949;F6QKY6;Q3TV73,biomart,uniprot_api
Nme1,"","",NME1,"",NME/NM23 nucleoside diphosphate kinase 1,Metabolic,"","","",MGI:97355,18102,MGI,10/6/2020,P15532;,P15532;Q5NC81;Q5NC79;Q5NC80,biomart,uniprot_api
Nme2,"","",NME2,"",NME/NM23 nucleoside diphosphate kinase 2,Metabolic,"","","",MGI:97356,18103,MGI,10/6/2020,Q01768,Q01768;Q5NC82;B0LAA8,biomart,uniprot_api
Nme4,"","",NME4,"",NME/NM23 nucleoside diphosphate kinase 4,Metabolic,"","","",MGI:1931148,56520,MGI,10/6/2020,;Q9WV84,Q9WV84;A0A494BA70;A0A494BA94;A0A494BBQ2;A0A494B9P5;Q9CS68;Q9D0C5,biomart,uniprot_api
Npr1,ANPa,ANPa,NPR1,ANPa,Atrial natriuretic peptide receptor 1,RGC,RGC,"",P16066,MGI:97371,18160,KinHub,10/6/2020,P18293;,P18293;Q2TAY4;Q3UY30;F6W125,biomart,uniprot_api
Npr2,ANPb,ANPb,NPR2,ANPb,Atrial natriuretic peptide receptor 2,RGC,RGC,"",P20594,MGI:97372,230103,KinHub,10/6/2020,Q6VVW5;,Q6VVW5;B1AWI7;Q8R1P8;Q3TZ08;F6YT88;O55009;F6YN80;Q99P52,biomart,uniprot_api
Nrk,NRK,ZC4/NRK,NRK,NRK,Nik-related protein kinase,STE,STE20,MSN,Q7Z2Y5,MGI:1351326,27206,KinHub,10/6/2020,Q9R0G8;,Q9R0G8;B1B0C9;D6RFR0;Q9CQH4,biomart,uniprot_api
Ntrk1,TRKA,TRKA,NTRK1,TRKA,High affinity nerve growth factor receptor,TK,Trk,"",P04629,MGI:97383,18211,KinHub,10/6/2020,Q3UFB7,Q3UFB7,biomart,uniprot_api
Ntrk2,TRKB,TRKB,NTRK2,TRKB,BDNF/NT-3 growth factors receptor,TK,Trk,"",Q16620,MGI:97384,18212,KinHub,10/6/2020,P15209;,P15209;B5BQV3;B5BQV4;A0A286YCV8;A0A286YDA0;A0A286YDA3;Q3UHE3;W8R8Q6;S5N1F5;A0A286YCB7,biomart,uniprot_api
Ntrk3,TRKC,TRKC,NTRK3,TRKC,NT-3 growth factor receptor,TK,Trk,"",Q16288,MGI:97385,18213,KinHub,10/6/2020,Q6VNS1;,Q6VNS1;A0A0A6YWF9;A0A0A6YWL7;A9X3Y5;Q3TNY3;Q3TP58;Q3TRX1;F5BYH5;A0A0U1RNS2;A0A0U1RNS9;A0A0U1RP04;A0A0U1RPF1;A0A0U1RPZ9;A9X3Y4,biomart,uniprot_api
Nuak1,NuaK1,NuaK1,NUAK1,NuaK1,NUAK family SNF1-like kinase 1,CAMK,CAMKL,NuaK,O60285,MGI:1925226,77976,KinHub,10/6/2020,Q641K5;,Q641K5;F6XZX4,biomart,uniprot_api
Nuak2,NuaK2,NuaK2,NUAK2,NuaK2,NUAK family SNF1-like kinase 2,CAMK,CAMKL,NuaK,Q9H093,MGI:1921387,74137,KinHub,10/6/2020,Q8BZN4,Q8BZN4,biomart,uniprot_api
Obscn,Obscn,Obscn,OBSCN,Obscn,Obscurin,CAMK,Trio,"",Q5VST9,MGI:2681862,380698,KinHub,10/6/2020,;A2AAJ9,A2AAJ9;H7BX05;Z4YJE4;A0A1W2P6H1;E9QQ96;J9JIB2;F7DCJ0;Q80UP9;A0A571BEB2;F6TJX7,biomart,uniprot_api
Oxsr1,OSR1,OSR1,OXSR1,OSR1,Serine/threonine-protein kinase OSR1,STE,STE20,FRAY,O95747,MGI:1917378,108737,KinHub,10/6/2020,Q6P9R2;,Q6P9R2;D6RFV0;F7AVI9;Q8VDZ9,biomart,uniprot_api
Pak1,PAK1,PAK1,PAK1,PAK1,Serine/threonine-protein kinase PAK 1,STE,STE20,PAKA,Q13153,MGI:1339975,18479,KinHub,10/6/2020,"",O88643;G5E884;A0A0U1RQ87;S4R2K7,,uniprot_api
Pak2,PAK2,PAK2,PAK2,PAK2,Serine/threonine-protein kinase PAK 2,STE,STE20,PAKA,Q13177,MGI:1339984,224105,KinHub,10/6/2020,Q8CIN4,Q8CIN4;Q5DTJ2;Q811J8;Q8BVX1;Q8BGF1;Q8K0Z3,biomart,uniprot_api
Pak3,PAK3,PAK3,PAK3,PAK3,Serine/threonine-protein kinase PAK 3,STE,STE20,PAKA,O75914,MGI:1339656,18481,KinHub,10/6/2020,Q61036;,Q61036;B1GX80;B1GX81;A3KGC3;A3KGC4;A3KGC5;A3KGC2,biomart,uniprot_api
Pak4,PAK4,PAK4,PAK4,PAK4,Serine/threonine-protein kinase PAK 4,STE,STE20,PAKB,O96013,MGI:1917834,70584,KinHub,10/6/2020,Q8BTW9,Q8BTW9;Q8K0U2,biomart,uniprot_api
Pak5,PAK5,PAK5,PAK7,PAK5,Serine/threonine-protein kinase PAK 7,STE,STE20,PAKB,Q9P286,MGI:1920334,241656,KinHub,10/6/2020,Q8C015,Q8C015;Q8BVB0;Q4KL59;Q3V2Z3;Q3V442,biomart,uniprot_api
Pak6,PAK6,PAK6,PAK6,PAK6,Serine/threonine-protein kinase PAK 6,STE,STE20,PAKB,Q9NQU5,MGI:2679420,214230,KinHub,10/6/2020,Q3ULB5,Q3ULB5;B2RWY1,biomart,uniprot_api
Pask,PASK,PASK,PASK,PASK,PAS domain-containing serine/threonine-protein kinase,CAMK,CAMKL,PASK,Q96RG2,MGI:2155936,269224,KinHub,10/6/2020,Q8CEE6;,Q8CEE6;B9EKC1;D3YUI8,biomart,uniprot_api
Pbk,PBK,PBK,PBK,PBK,Lymphokine-activated killer T-cell-originated protein kinase,Other,TOPK,"",Q96KB5,MGI:1289156,52033,KinHub,10/6/2020,Q9JJ78;,Q9JJ78;D3YVF2,biomart,uniprot_api
Pck2,"","",PCK2,"",phosphoenolpyruvate carboxykinase 2 (mitochondrial),Metabolic,"","","",MGI:1860456,74551,MGI,10/6/2020,Q8BH04;,Q8BH04;A0A0R4J0G0;A0A2I3BRX1;A0A2I3BS39;Q3UGF0;Q3TDE6;Q8R3X7;A0A2I3BQL9;A0A2I3BQC6;A0PJG3;Q3UQD8;A0A2I3BQ75,biomart,uniprot_api
Pdgfra,PDGFRa,PDGFRa,PDGFRA,PDGFRa,Platelet-derived growth factor receptor alpha,TK,PDGFR,"",P16234,MGI:97530,18595,KinHub,10/6/2020,P26618;,P26618;Q06BS2;Q8CGH8;A0A0J9YUD9;A0A387L9Y7;A0A387LAL0;Q3UTU2;A0A0J9YV49;A0A0J9YV87;A0A0J9YVF3,biomart,uniprot_api
Pdgfrb,PDGFRb,PDGFRb,PDGFRB,PDGFRb,Platelet-derived growth factor receptor beta,TK,PDGFR,"",P09619,MGI:97531,18596,KinHub,10/6/2020,P05622;,P05622;Q7TMR8;E9QN12;Q3UYC9;Q3TZ27;Q003I5,biomart,uniprot_api
Pdik1l,CLIK1L,CLIK1L,PDIK1L,CLIK1L,Serine/threonine-protein kinase PDIK1L,Other,NKF4,"",Q8N165,MGI:2385213,230809,KinHub,10/6/2020,;Q8QZR7,Q8QZR7;F6YU83;Q3TS08;F6VDY0;A2A9L3,biomart,uniprot_api
Pdk1,PDHK1,PDHK1,PDK1,PDHK1,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1,Atypical,PDHK,"",Q15118,MGI:1926119,228026,KinHub,10/6/2020,Q8BFP9,Q8BFP9;Q9Z2A0;Q8R2U8;Q8BFP4,biomart,uniprot_api
Pdk2,PDHK2,PDHK2,PDK2,"",[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2,Atypical,PDHK,"",Q15119,MGI:1343087,18604,KinHub,10/6/2020,Q9JK42,Q9JK42,biomart,uniprot_api
Pdk3,PDHK3,PDHK3,PDK3,PDHK3,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3,Atypical,PDHK,"",Q15120,MGI:2384308,236900,KinHub,10/6/2020,Q922H2,Q922H2;Q4FJR4;Q3V250,biomart,uniprot_api
Pdk4,PDHK4,PDHK4,PDK4,PDHK4,[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4,Atypical,PDHK,"",Q16654,MGI:1351481,27273,KinHub,10/6/2020,O70571;,O70571;Q544J2;A0A0N4SW53,biomart,uniprot_api
Pdpk1,PDK1,PDK1,PDPK1,PDK1,3-phosphoinositide-dependent protein kinase 1,AGC,PDK1,"",O15530,MGI:1338068,18607,KinHub,10/6/2020,Q9Z2A0;,Q9Z2A0;Q3TRL2;Q3UGN6;F2Z3X6;Q8K3L3;Q3UHZ0;F2Z400;Q3UEW8;F2Z3Z9;F2Z4A5;F2Z3V6;F2Z3X9,biomart,uniprot_api
Pdxk,"","",PDXK,"","pyridoxal (pyridoxine, vitamin B6) kinase",Metabolic,"","","",MGI:1351869,216134,MGI,10/6/2020,Q8K183,Q8K183,biomart,uniprot_api
Peak1,SgK269,SgK269,PEAK1,SgK269,Pseudopodium-enriched atypical kinase 1,Other,NKF3,"",Q9H792,MGI:2442366,244895,KinHub,10/6/2020,;Q69Z38,Q69Z38;A0A087WQ01;A0A087WQ82,biomart,uniprot_api
Pfkl,18641,"",PFKL,"","phosphofructokinase, liver, B-type",Metabolic,"","","",MGI:97547,18641,MGI,10/6/2020,P12382;,P12382;Q8CD98;A0A1W2P7T1;A0A1W2P6Q4,biomart,uniprot_api
Pfkm,"","",PFKM,"","phosphofructokinase, muscle",Metabolic,"","","",MGI:97548,18642,MGI,10/6/2020,;P47857,P47857;Q99K08;A0A2R8VHV2;Q1LZL7;A0A2R8VHA5;O35514,biomart,uniprot_api
Pfkp,"","",PFKP,"","phosphofructokinase, platelet",Metabolic,"","","",MGI:1891833,56421,MGI,10/6/2020,Q9WUA3;,Q9WUA3;Q8C605;Q9D255;Q8C8E8;D3YUA3;A0A0G2JD99;F6YL81;F6VP95,biomart,uniprot_api
Phkg1,PHKg1,PHKg1,PHKG1,PHKg1,Phosphorylase b kinase gamma catalytic chain,CAMK,PHK,"",Q16816,MGI:97579,18682,KinHub,10/6/2020,P07934;,P07934;D3Z1B5;D3Z472,biomart,uniprot_api
Phkg2,PHKg2,PHKg2,PHKG2,PHKg2,Phosphorylase b kinase gamma catalytic chain,CAMK,PHK,"",P15735,MGI:1916211,68961,KinHub,10/6/2020,;Q9DB30,Q9DB30;A0A0U1RP54;D6RG71;D6RGU6;A0A0U1RPC7,biomart,uniprot_api
Pi4k2b,"","",PI4K2B,"",phosphatidylinositol 4-kinase type 2 beta,Other,"","","",MGI:1914323,67073,MGI,10/6/2020,Q8CBQ5;,Q8CBQ5;A0A0G2JEK1,biomart,uniprot_api
Pi4ka,"","",PI4KA,"",phosphatidylinositol 4-kinase alpha,Other,"","","",MGI:2448506,224020,MGI,10/6/2020,;E9Q3L2,E9Q3L2;A0A1S6GWJ7;A0A140T8I9;A0A338P6S0;A0A338P6F9;A0A338P7D3,biomart,uniprot_api
Pik3c2a,"","",PIK3C2A,"",phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,Other,"","","",MGI:1203729,18704,MGI,10/6/2020,"",Q61194;F8VPL2;Q3UWW7;A0A0U1RNH9;A0A0U1RNT0;Q3UQN0;Q3US21,,uniprot_api
Pik3c3,"","",PIK3C3,"",phosphatidylinositol 3-kinase catalytic subunit type 3,Metabolic,"","","",MGI:2445019,225326,MGI,10/6/2020,Q6PF93;,Q6PF93;E9QLS6;D3YZ98;E9Q824,biomart,uniprot_api
Pik3ca,"","",PIK3CA,"","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Other,"","","",MGI:1206581,18706,MGI,10/6/2020,P42337;,P42337;D3YY41,biomart,uniprot_api
Pik3cb,"","",PIK3CB,"","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Other,"","","",MGI:1922019,74769,MGI,10/6/2020,Q8BTI9;,Q8BTI9;A0JNZ1;Q8CFF1;S4R1S1;Q3TNJ8;D3Z2Z7;Q9CTK7,biomart,uniprot_api
Pik3cd,"","",PIK3CD,"","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",Other,"","","",MGI:1098211,18707,MGI,10/6/2020,;O35904,O35904;Q3T9Y0;Q3UDT3;Q8CI98;Q3TBW3;B0QZL5;Q8BS14;Q3UC78;Q3U7H2;B1AS26;B1AS28;B1AS24;B1AS25;B1AS27,biomart,uniprot_api
Pik3cg,"","",PIK3CG,"","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",Other,"","","",MGI:1353576,30955,MGI,10/6/2020,Q9JHG7;,Q9JHG7;Q3V1C0;Q3UVA4;Q9EQL1;A0A1W2P8F6;Q3UPS4;Q24LN5;Q8C5Q7,biomart,uniprot_api
Pik3r4,PIK3R4,PIK3R4,PIK3R4,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4,Other,VPS15,"",Q99570,MGI:1922919,75669,KinHub,10/6/2020,;Q8VD65,Q8VD65;B2RY05;B2RXR2;A0A087WP62;A0A0R4J2C7;A0A087WQR4,biomart,uniprot_api
Pikfyve,"","",PIKFYVE,"","phosphoinositide kinase, FYVE type zinc finger containing",Metabolic,"","","",MGI:1335106,18711,MGI,10/6/2020,;Q9Z1T6,Q9Z1T6;D3Z5N5;A0A087WQI1;A0A087WS78;Q3TR41,biomart,uniprot_api
Pim1,PIM1,PIM1,PIM1,PIM1,Serine/threonine-protein kinase pim-1,CAMK,PIM,"",P11309,MGI:97584,18712,KinHub,10/6/2020,P06803;,P06803;Q3U4N9;A0A3Q4EGX3;A0A3Q4EGB5;Q3TYQ0,biomart,uniprot_api
Pim2,PIM2,PIM2,PIM2,PIM2,Serine/threonine-protein kinase pim-2,CAMK,PIM,"",Q9P1W9,MGI:97587,18715,KinHub,10/6/2020,Q62070,Q62070;F6WGR1;Q8R1Z0,biomart,uniprot_api
Pim3,PIM3,PIM3,PIM3,PIM3,Serine/threonine-protein kinase pim-3,CAMK,PIM,"",Q86V86,MGI:1355297,223775,KinHub,10/6/2020,P58750,P58750;Q3TI45;Q3TX64;Q811X8,biomart,uniprot_api
Pink1,PINK1,PINK1,PINK1,PINK1,Serine/threonine-protein kinase PINK1,Other,NKF2,"",Q9BXM7,MGI:1916193,68943,KinHub,10/6/2020,;Q99MQ3,Q99MQ3;Q6IS31;Q3U258;Q5DU52;A2AM78;A2AM76,biomart,uniprot_api
Pip4k2a,18718,"",PIP4K2A,"","phosphatidylinositol-5-phosphate 4-kinase, type II, alpha",Metabolic,"","","",MGI:1298206,18718,MGI,10/6/2020,O70172;,O70172;Q544E3;F6RJE8;Q9CZS7;A2ASS3,biomart,uniprot_api
Pip4k2b,108083,"",PIP4K2B,"","phosphatidylinositol-5-phosphate 4-kinase, type II, beta",Metabolic,"","","",MGI:1934234,108083,MGI,10/6/2020,Q80XI4,Q80XI4;Q3UJ95;Q91XU2,biomart,uniprot_api
Pip4k2c,117150,"",PIP4K2C,"","phosphatidylinositol-5-phosphate 4-kinase, type II, gamma",Metabolic,"","","",MGI:2152214,117150,MGI,10/6/2020,Q91XU3,Q91XU3,biomart,uniprot_api
Pip5k1a,"","",PIP5K1A,"","phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha",Metabolic,"","","",MGI:107929,18720,MGI,10/6/2020,P70182;,P70182;D3YUY3;F8WI18,biomart,uniprot_api
Pip5k1c,"","",PIP5K1C,"","phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma",Metabolic,"","","",MGI:1298224,18717,MGI,10/6/2020,O70161;,O70161;F8WHW6;F7C0X9;E0CZ71;E0CYP4;F6SMP3;F6TL71,biomart,uniprot_api
Pkdcc,SgK493,SgK493,PKDCC,SgK493,Protein kinase domain-containing protein,Other,SgK493,"",Q504Y2,MGI:2147077,106522,KinHub,10/6/2020,Q5RJI4;,Q5RJI4;F6YRX3,biomart,uniprot_api
Pkm,"","",PKM,"","pyruvate kinase, muscle",Metabolic,"","","",MGI:97591,18746,MGI,10/6/2020,P52480;,P52480;A0A1L1SSN6;A0A1L1STV8;A0A1L1SU37;A0A1L1SQV8;A0A1L1SUV0;A0A1L1ST52;A0A1L1SVH2,biomart,uniprot_api
Pkmyt1,MYT1,MYT1,PKMYT1,MYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,Other,WEE,"",Q99640,MGI:2137630,268930,KinHub,10/6/2020,Q9ESG9,Q9ESG9,biomart,uniprot_api
Pkn1,PKN1,PKN1,PKN1,PKN1,Serine/threonine-protein kinase N1,AGC,PKN,"",Q16512,MGI:108022,320795,KinHub,10/6/2020,P70268;,P70268;D6RH37,biomart,uniprot_api
Pkn2,PKN2,PKN2,PKN2,PKN2,Serine/threonine-protein kinase N2,AGC,PKN,"",Q16513,MGI:109211,109333,KinHub,10/6/2020,Q8BWW9;,Q8BWW9;G3UXH4;G3UZM9;Q8BW55;G3UYD6;Q8BVK4;G3UWT9;G3UYE1;Q8BJM4,biomart,uniprot_api
Pkn3,PKN3,PKN3,PKN3,PKN3,Serine/threonine-protein kinase N3,AGC,PKN,"",Q6P5Z2,MGI:2388285,263803,KinHub,10/6/2020,;Q8K045,Q8K045;Q3UQS3;A2BE97;A2BE96,biomart,uniprot_api
Plk1,PLK1,PLK1,PLK1,PLK1,Serine/threonine-protein kinase PLK1,Other,PLK,"",P53350,MGI:97621,18817,KinHub,10/6/2020,Q07832;,Q07832;Q3TPZ2;Q3UG81;A0A0U1RNM9;A0A0U1RQ54,biomart,uniprot_api
Plk2,PLK2,PLK2,PLK2,PLK2,Serine/threonine-protein kinase PLK2,Other,PLK,"",Q9NYY3,MGI:1099790,20620,KinHub,10/6/2020,P53351,P53351;Q548A9;Q8K226;Q3TV29,biomart,uniprot_api
Plk3,PLK3,PLK3,PLK3,PLK3,Serine/threonine-protein kinase PLK3,Other,PLK,"",Q9H4B4,MGI:109604,12795,KinHub,10/6/2020,"",Q60806;Q6P571;F6V5S5;Q3U0L5;I6L9A2,,uniprot_api
Plk4,PLK4,PLK4,PLK4,PLK4,Serine/threonine-protein kinase PLK4,Other,PLK,"",O00444,MGI:101783,20873,KinHub,10/6/2020,Q64702;,Q64702;E9PVH4;Q3V382;E9Q4W7;F6QIM3;A0A0N4SWB8;Q8C3W9,biomart,uniprot_api
Plk5,"","",PLK5,"",polo like kinase 5,Other,"","","",MGI:3026984,216166,MGI,10/6/2020,;Q4FZD7,Q4FZD7;G3X967,biomart,uniprot_api
Pnck,CaMK1b,CaMK1b,PNCK,CaMK1b,Calcium/calmodulin-dependent protein kinase type 1B,CAMK,CAMK1,"",Q6P2M8,MGI:1347357,93843,KinHub,10/6/2020,Q9QYK9;,Q9QYK9;A2ALM3;Q3TYC1;Q3UYI0,biomart,uniprot_api
Pomk,SgK196,SgK196,POMK,SgK196,Protein kinase-like protein SgK196,Other,Other-Unique,"",Q9H5K3,MGI:1921903,74653,KinHub,10/6/2020,Q3TUA9,Q3TUA9,biomart,uniprot_api
Ppip5k2,"","",PPIP5K2,"",diphosphoinositol pentakisphosphate kinase 2,Metabolic,"","","",MGI:2142810,227399,MGI,10/6/2020,Q6ZQB6;,Q6ZQB6;Q80V47;E9Q9J4;Q8BWK5;A0A087WPZ7,biomart,uniprot_api
Prag1,SgK223,SgK223,"",SgK223,Tyrosine-protein kinase SgK223,Other,NKF3,"",Q86YV5,MGI:1196223,244418,KinHub,10/6/2020,Q571I4,Q571I4,biomart,uniprot_api
Prkaa1,AMPKa1,AMPKa1,PRKAA1,AMPKa1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,MGI:2145955,105787,KinHub,10/6/2020,;Q5EG47,Q5EG47;Q3TUQ7;Q8BUX6,biomart,uniprot_api
Prkaa2,AMPKa2,AMPKa2,PRKAA2,AMPKa2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,MGI:1336173,108079,KinHub,10/6/2020,Q8BRK8,Q8BRK8;G8XUU5,biomart,uniprot_api
Prkaca,PKACa,PKACa,PRKACA,PKACa,cAMP-dependent protein kinase catalytic subunit alpha,AGC,PKA,"",P17612,MGI:97592,18747,KinHub,10/6/2020,P05132,P05132;J9JDU9,biomart,uniprot_api
Prkacb,PKACb,PKACb,PRKACB,PKACb,cAMP-dependent protein kinase catalytic subunit beta,AGC,PKA,"",P22694,MGI:97594,18749,KinHub,10/6/2020,P68181;,P68181;H6TMF6;Q8C4J3;Q8CBP8;H6TMF5;A0A0G2JFT9,biomart,uniprot_api
Prkca,PKCa,PKCa,PRKCA,PKCa,Protein kinase C alpha type,AGC,PKC,PKCa,P17252,MGI:97595,18750,KinHub,10/6/2020,"",P20444;Q4VA93;Q3TQ39,,uniprot_api
Prkcb,PKCb,PKCb,PRKCB,PKCb,Protein kinase C beta type,AGC,PKC,PKCa,P05771,MGI:97596,18751,KinHub,10/6/2020,P68404,P68404;Q80ZQ8,biomart,uniprot_api
Prkcd,PKCd,PKCd,PRKCD,PKCd,Protein kinase C delta type,AGC,PKC,PKCd,Q05655,MGI:97598,18753,KinHub,10/6/2020,P28867;,P28867;Q53YN4;Q3TGE4;Q3UNG2;Q1MX43;Q1MX40;F1DGF6;Q1MX42;Q80UN7;Q1MX41;Q3TT74,biomart,uniprot_api
Prkce,PKCe,PKCe,PRKCE,PKCe,Protein kinase C epsilon type,AGC,PKC,PKCh,Q02156,MGI:97599,18754,KinHub,10/6/2020,P16054;,P16054;Q8C944,biomart,uniprot_api
Prkcg,PKCg,PKCg,PRKCG,PKCg,Protein kinase C gamma type,AGC,PKC,PKCa,P05129,MGI:97597,18752,KinHub,10/6/2020,P63318;,P63318;Q3UN66;Q2NKI4;A0A0N4SWF4,biomart,uniprot_api
Prkch,PKCh,PKCh,PRKCH,PKCh,Protein kinase C eta type,AGC,PKC,PKCh,P24723,MGI:97600,18755,KinHub,10/6/2020,;P23298,P23298;Q3U1I0;Q3UKY1;A0A1Y7VJ89,biomart,uniprot_api
Prkci,PKCi,PKCi,PRKCI,PKCi,Protein kinase C iota type,AGC,PKC,PKCi,P41743,MGI:99260,18759,KinHub,10/6/2020,Q62074;,Q62074;Q5DTK3;Q3UGW9;Q3TJJ5;Q3UMD5;F6QWV4;D3YXY0,biomart,uniprot_api
